"","entity","year","code","plastic_waste_generation_tonnes_total","loc_id","var_id","variant","mid_period","pop_male","pop_female","pop_total","pop_density","pctfemale","pctmale"
"1","Albania",2010,"ALB",73364,8,2,"Medium",2010.5,1485.068,1462.961,2948.029,107.592,0.496250545703587,0.503749454296413
"2","Algeria",2010,"DZA",1898343,12,2,"Medium",2010.5,18161.36,17816.091,35977.451,15.106,0.495201591685859,0.504798408314141
"3","Angola",2010,"AGO",528843,24,2,"Medium",2010.5,11549.277,11806.97,23356.247,18.734,0.505516575501192,0.494483424498808
"4","Antigua and Barbuda",2010,"ATG",22804,28,2,"Medium",2010.5,42.118,45.912,88.03,200.068,0.521549471770987,0.478450528229013
"5","Argentina",2010,"ARG",2753550,32,2,"Medium",2010.5,19898.751,20997,40895.751,14.944,0.513427421836562,0.486572578163438
"6","Aruba",2010,"ABW",9352,533,2,"Medium",2010.5,48.465,53.2,101.665,564.806,0.523287267004377,0.476712732995623
"7","Australia",2010,"AUS",900658,36,2,"Medium",2010.5,11079.372,11075.315,22154.687,2.884,0.499908439239065,0.500091560760935
"8","Bahamas",2010,"BHS",51364,44,2,"Medium",2010.5,172.007,182.929,354.936,35.458,0.515385872382627,0.484614127617373
"9","Bahrain",2010,"BHR",59785,48,2,"Medium",2010.5,774.051,466.813,1240.864,1632.716,0.376199970343245,0.623800029656755
"10","Bangladesh",2010,"BGD",1888170,50,2,"Medium",2010.5,75015.692,72559.741,147575.433,1133.713,0.491678997818018,0.508321002181982
"11","Barbados",2010,"BRB",58164,52,2,"Medium",2010.5,135.386,146.745,282.131,656.119,0.520130719417576,0.479869280582425
"12","Belgium",2010,"BEL",318151,56,2,"Medium",2010.5,5371.961,5566.774,10938.735,361.253,0.508904731671441,0.491095268328559
"13","Belize",2010,"BLZ",20191,84,2,"Medium",2010.5,161.328,161.137,322.465,14.137,0.499703843828012,0.500296156171988
"14","Benin",2010,"BEN",144382,204,2,"Medium",2010.5,4568.834,4630.42,9199.254,81.583,0.503347336642732,0.496652663357268
"15","Bermuda",2010,"BMU",5990,60,2,"Medium",2010.5,NA,NA,65.388,1307.76,NA,NA
"16","Bosnia and Herzegovina",2010,"BIH",195633,70,2,"Medium",2010.5,1819.537,1885.941,3705.478,72.656,0.508960247503831,0.491039752496169
"17","Brazil",2010,"BRA",11852055,76,2,"Medium",2010.5,96536.269,99177.368,195713.637,23.416,0.506747355576454,0.493252644423546
"18","British Virgin Islands",2010,"VGB",2504,92,2,"Medium",2010.5,NA,NA,27.796,185.307,NA,NA
"19","Bulgaria",2010,"BGR",415707,100,2,"Medium",2010.5,3615.632,3809.379,7425.011,68.395,0.51304691669817,0.486953083301829
